date,daily_extreme_mwh,extreme_events,cum_extreme_mwh
2024-06-06,1518.5,1,1518.5
2024-06-07,1244,1,2762.5
2024-06-08,8850.5,5,11613
2024-06-09,2827,2,14440
2024-06-10,6929.5,5,21369.5
2024-06-11,2651,2,24020.5
2024-06-13,1809,1,25829.5
2024-06-14,3762,3,29591.5
2024-06-15,1172,1,30763.5
2024-06-16,3935.5,3,34699
2024-06-22,3070,2,37769
2024-06-24,1895,1,39664
2024-06-25,2172.5,1,41836.5
2024-06-26,1342.5,1,43179
2024-06-27,4624,3,47803
2024-06-28,3776.5,3,51579.5
2024-07-02,1295.5,1,52875
2024-07-03,1926.5,1,54801.5
2024-07-04,5891,4,60692.5
2024-07-05,8414.5,5,69107
2024-07-07,1194,1,70301
2024-07-08,1381,1,71682
2024-07-09,2884,2,74566
2024-07-10,1467,1,76033
2024-07-14,1164,1,77197
2024-07-18,3988,3,81185
2024-07-19,1229,1,82414
2024-07-22,2497.5,2,84911.5
2024-07-24,1318,1,86229.5
2024-07-25,1367.5,1,87597
2024-07-28,2630.5,2,90227.5
2024-07-29,1264.5,1,91492
2024-08-01,1188,1,92680
2024-08-02,1381,1,94061
2024-08-05,1408,1,95469
2024-08-08,1498.5,1,96967.5
2024-08-09,12727.5,9,109695
2024-08-10,1856,1,111551
2024-08-11,5359.5,4,116910.5
2024-08-12,1198,1,118108.5
2024-08-13,1342,1,119450.5
2024-08-15,2519.5,2,121970
2024-08-16,1173.5,1,123143.5
2024-08-18,3196.5,2,126340
2024-08-19,4093.5,3,130433.5
2024-08-20,16029.5,11,146463
2024-08-21,11309,8,157772
2024-08-22,5678.5,3,163450.5
2024-08-23,11177,8,174627.5
2024-08-24,5067.5,3,179695
2024-08-25,1594.5,1,181289.5
2024-08-26,3025,2,184314.5
2024-08-28,5057.5,3,189372
2024-08-29,2684.5,2,192056.5
2024-08-30,1191.5,1,193248
2024-08-31,1238,1,194486
2024-09-01,2448.5,2,196934.5
2024-09-02,4191,2,201125.5
2024-09-03,4327,3,205452.5
2024-09-04,4100,3,209552.5
2024-09-05,5586.5,4,215139
2024-09-06,4426,3,219565
2024-09-07,1372,1,220937
2024-09-09,7480.5,5,228417.5
2024-09-10,7734,5,236151.5
2024-09-11,10275.5,7,246427
2024-09-12,2524.5,2,248951.5
2024-09-13,10283.5,8,259235
2024-09-14,12848.5,8,272083.5
2024-09-15,1244,1,273327.5
2024-09-16,6939.5,5,280267
2024-09-17,6587.5,5,286854.5
2024-09-18,6958.5,5,293813
2024-09-19,5969,4,299782
2024-09-20,2173,1,301955
2024-09-21,1194.5,1,303149.5
2024-09-22,1579,1,304728.5
2024-09-23,1674,1,306402.5
2024-09-24,3118,2,309520.5
2024-09-26,3819.5,3,313340
2024-09-27,10530,6,323870
2024-09-28,3720,3,327590
2024-09-29,6293,4,333883
2024-09-30,5652.5,3,339535.5
2024-10-01,5101.5,4,344637
2024-10-02,2583,2,347220
2024-10-03,5405,4,352625
2024-10-04,3698.5,3,356323.5
2024-10-05,6937.5,5,363261
2024-10-06,1431.5,1,364692.5
2024-10-07,5334,4,370026.5
2024-10-08,1431,1,371457.5
2024-10-09,4049,2,375506.5
2024-10-10,4918.5,3,380425
2024-10-11,6599.5,5,387024.5
2024-10-12,6485,4,393509.5
2024-10-13,2631,2,396140.5
2024-10-14,4381.5,3,400522
2024-10-15,7821,5,408343
2024-10-16,4589.5,2,412932.5
2024-10-17,3830.5,3,416763
2024-10-18,6664,5,423427
2024-10-19,4971.5,3,428398.5
2024-10-20,13221,9,441619.5
2024-10-21,5456,3,447075.5
2024-10-22,5784,3,452859.5
2024-10-23,5700.5,4,458560
2024-10-24,9573,7,468133
2024-10-25,4470,3,472603
2024-10-26,5550,4,478153
2024-10-27,4902,4,483055
2024-10-28,4367.5,2,487422.5
2024-10-29,2460.5,2,489883
2024-10-30,3827,3,493710
2024-10-31,2798,2,496508
2024-11-02,1420,1,497928
2024-11-04,5841.5,4,503769.5
2024-11-05,4526.5,2,508296
2024-11-06,5707,4,514003
2024-11-07,2364.5,2,516367.5
2024-11-08,1496,1,517863.5
2024-11-09,1441.5,1,519305
2024-11-10,1160,1,520465
2024-11-11,5874.5,4,526339.5
2024-11-12,1272.5,1,527612
2024-11-13,5361,4,532973
2024-11-15,2742,2,535715
2024-11-16,1172.5,1,536887.5
2024-11-17,1321,1,538208.5
2024-11-18,5107,4,543315.5
2024-11-19,4393,3,547708.5
2024-11-20,6258.5,5,553967
2024-11-21,7695.5,5,561662.5
2024-11-22,2683,1,564345.5
2024-11-23,7502,4,571847.5
2024-11-24,10830,6,582677.5
2024-11-25,8067,5,590744.5
2024-11-26,5143.5,3,595888
2024-11-27,2649,2,598537
2024-11-28,5466.5,3,604003.5
2024-11-29,2951,2,606954.5
2024-11-30,3876.5,3,610831
2024-12-01,7836.5,5,618667.5
2024-12-02,2894.5,2,621562
2024-12-03,9644.5,6,631206.5
2024-12-04,8570,5,639776.5
2024-12-05,12573,8,652349.5
