hour,wday,freq,n
0,Sun,0.019230769230769232,52
0,Mon,0,54
0,Tue,0,52
0,Wed,0,52
0,Thu,0,54
0,Fri,0.057692307692307696,52
0,Sat,0,52
1,Sun,0,52
1,Mon,0,52
1,Tue,0,52
1,Wed,0,52
1,Thu,0,54
1,Fri,0,52
1,Sat,0,52
2,Sun,0,52
2,Mon,0,52
2,Tue,0,52
2,Wed,0,52
2,Thu,0,54
2,Fri,0,52
2,Sat,0,52
3,Sun,0.019230769230769232,52
3,Mon,0,52
3,Tue,0,52
3,Wed,0,52
3,Thu,0,54
3,Fri,0,52
3,Sat,0,52
4,Sun,0,52
4,Mon,0,52
4,Tue,0,52
4,Wed,0,52
4,Thu,0,54
4,Fri,0,52
4,Sat,0,52
5,Sun,0.019230769230769232,52
5,Mon,0.019230769230769232,52
5,Tue,0,52
5,Wed,0,52
5,Thu,0,54
5,Fri,0.019230769230769232,52
5,Sat,0,52
6,Sun,0.038461538461538464,52
6,Mon,0.2692307692307692,52
6,Tue,0.17307692307692307,52
6,Wed,0.19230769230769232,52
6,Thu,0.2777777777777778,54
6,Fri,0.15384615384615385,52
6,Sat,0,52
7,Sun,0.057692307692307696,52
7,Mon,0.2692307692307692,52
7,Tue,0.23076923076923078,52
7,Wed,0.3076923076923077,52
7,Thu,0.37037037037037035,54
7,Fri,0.3269230769230769,52
7,Sat,0.057692307692307696,52
8,Sun,0.11538461538461539,52
8,Mon,0.17307692307692307,52
8,Tue,0.19230769230769232,52
8,Wed,0.15384615384615385,52
8,Thu,0.16666666666666666,54
8,Fri,0.09615384615384616,52
8,Sat,0.1346153846153846,52
9,Sun,0.07692307692307693,52
9,Mon,0,52
9,Tue,0.057692307692307696,52
9,Wed,0.019230769230769232,52
9,Thu,0.037037037037037035,54
9,Fri,0.07692307692307693,52
9,Sat,0.038461538461538464,52
10,Sun,0.019230769230769232,52
10,Mon,0.038461538461538464,52
10,Tue,0.038461538461538464,52
10,Wed,0.09615384615384616,52
10,Thu,0.018518518518518517,54
10,Fri,0.09615384615384616,52
10,Sat,0.038461538461538464,52
11,Sun,0,52
11,Mon,0,52
11,Tue,0.019230769230769232,52
11,Wed,0,52
11,Thu,0,54
11,Fri,0,52
11,Sat,0.038461538461538464,52
12,Sun,0,52
12,Mon,0,52
12,Tue,0,52
12,Wed,0,52
12,Thu,0.018518518518518517,54
12,Fri,0,52
12,Sat,0,52
13,Sun,0,52
13,Mon,0,52
13,Tue,0.019230769230769232,52
13,Wed,0,52
13,Thu,0,54
13,Fri,0.019230769230769232,52
13,Sat,0,52
14,Sun,0,52
14,Mon,0,52
14,Tue,0,52
14,Wed,0.019230769230769232,52
14,Thu,0,54
14,Fri,0,52
14,Sat,0,52
15,Sun,0.019230769230769232,52
15,Mon,0,52
15,Tue,0.038461538461538464,52
15,Wed,0.038461538461538464,52
15,Thu,0.037037037037037035,54
15,Fri,0.057692307692307696,52
15,Sat,0,52
16,Sun,0.07692307692307693,52
16,Mon,0.038461538461538464,52
16,Tue,0.07692307692307693,52
16,Wed,0.11538461538461539,52
16,Thu,0.09259259259259259,54
16,Fri,0.11538461538461539,52
16,Sat,0.1346153846153846,52
17,Sun,0.21153846153846154,52
17,Mon,0.15384615384615385,52
17,Tue,0.07692307692307693,52
17,Wed,0.11538461538461539,52
17,Thu,0.09259259259259259,54
17,Fri,0.21153846153846154,52
17,Sat,0.19230769230769232,52
18,Sun,0.057692307692307696,52
18,Mon,0.038461538461538464,52
18,Tue,0.019230769230769232,52
18,Wed,0.019230769230769232,52
18,Thu,0.037037037037037035,54
18,Fri,0.09615384615384616,52
18,Sat,0.09615384615384616,52
19,Sun,0.019230769230769232,52
19,Mon,0.019230769230769232,52
19,Tue,0.019230769230769232,52
19,Wed,0.019230769230769232,52
19,Thu,0,54
19,Fri,0.019230769230769232,52
19,Sat,0,52
20,Sun,0,52
20,Mon,0.019230769230769232,52
20,Tue,0.019230769230769232,52
20,Wed,0,52
20,Thu,0,54
20,Fri,0,52
20,Sat,0.019230769230769232,52
21,Sun,0.09615384615384616,52
21,Mon,0.057692307692307696,52
21,Tue,0.019230769230769232,52
21,Wed,0.019230769230769232,52
21,Thu,0.037037037037037035,54
21,Fri,0.019230769230769232,52
21,Sat,0.019230769230769232,52
22,Sun,0.057692307692307696,52
22,Mon,0.07692307692307693,52
22,Tue,0.11538461538461539,52
22,Wed,0.019230769230769232,52
22,Thu,0.037037037037037035,54
22,Fri,0,52
22,Sat,0.07692307692307693,52
23,Sun,0.11538461538461539,52
23,Mon,0.057692307692307696,52
23,Tue,0.09615384615384616,52
23,Wed,0.07692307692307693,52
23,Thu,0.1111111111111111,54
23,Fri,0.038461538461538464,52
23,Sat,0.15384615384615385,52
