datetime,demand_mw,res_gen_mw,interconnect_flow_mw,res_demand_mw,pump_storage_pumping,rank
2024-12-03T18:00:00Z,38090,1675,9011,45426,0,1
2024-12-03T16:30:00Z,38069,1466,8651,45254,0,2
2024-12-03T17:30:00Z,38182,1601,8652,45233,0,3
2024-12-03T18:30:00Z,37618,1749,8959,44828,0,4
2024-12-03T17:00:00Z,38129,1534,8186,44781,0,5
2024-12-03T16:00:00Z,37161,1414,8725,44472,6,6
2024-11-20T19:30:00Z,38659,2015,7718,44362,10,7
2024-11-20T19:00:00Z,39202,2058,7102,44246,9,8
2024-11-28T16:30:00Z,38703,2560,8058,44201,5,9
2024-12-03T19:00:00Z,37302,1781,8448,43969,6,10
2024-11-28T17:00:00Z,38552,2696,8093,43949,5,11
2024-11-21T09:00:00Z,38625,2936,8233,43922,11,12
2024-11-20T20:00:00Z,37784,1959,8067,43892,10,13
2024-11-28T17:30:00Z,38514,2831,8194,43877,5,14
2024-11-22T17:00:00Z,38980,1128,5846,43698,6,15
2024-11-18T17:30:00Z,37467,807,6988,43648,1,16
2024-11-18T17:00:00Z,37573,727,6774,43620,3,17
2024-11-18T16:30:00Z,37260,646,6857,43471,6,18
2024-11-22T17:30:00Z,38703,1137,5880,43446,6,19
2024-11-18T19:00:00Z,35895,1020,8570,43445,11,20
2024-11-28T16:00:00Z,37799,2478,8070,43391,4,21
2024-11-18T18:00:00Z,36932,874,7283,43341,4,22
2024-11-28T18:00:00Z,38328,2911,7917,43334,5,23
2024-11-21T09:30:00Z,38481,3332,8127,43276,13,24
2024-11-20T18:00:00Z,40059,2198,5373,43234,3,25
2024-11-18T16:00:00Z,37053,627,6687,43113,6,26
2024-11-22T18:00:00Z,38375,1032,5686,43029,5,27
2024-11-20T18:30:00Z,39509,2101,5537,42945,5,28
2024-11-22T16:30:00Z,38410,1119,5623,42914,9,29
2024-12-03T19:30:00Z,36406,1813,8171,42764,11,30
2024-11-21T08:00:00Z,37457,2198,7413,42672,9,31
2024-11-18T18:30:00Z,36428,941,7179,42666,4,32
2024-11-21T08:30:00Z,37770,2519,7402,42653,12,33
2024-11-28T19:00:00Z,37028,3097,8640,42571,6,34
2024-11-22T18:30:00Z,37849,926,5620,42543,5,35
2024-12-03T15:30:00Z,36016,1175,7702,42543,6,36
2024-11-28T18:30:00Z,37642,2990,7861,42513,12,37
2024-11-20T17:30:00Z,40017,2295,4749,42471,5,38
2024-11-26T17:30:00Z,37837,419,4909,42327,0,39
2024-11-28T15:30:00Z,36533,2266,7921,42188,9,40
2024-11-20T20:30:00Z,36184,1902,7887,42169,10,41
2024-11-27T18:00:00Z,38363,1228,5022,42157,6,42
2024-11-18T19:30:00Z,34721,1098,8427,42050,10,43
2024-11-21T10:00:00Z,38057,3842,7763,41978,13,44
2024-11-22T19:00:00Z,37332,934,5574,41972,5,45
2024-11-27T18:30:00Z,38032,1181,5113,41964,6,46
2024-11-26T18:00:00Z,37482,434,4843,41891,1,47
2024-11-20T17:00:00Z,39873,2446,4411,41838,6,48
2024-11-28T19:30:00Z,36375,3204,8658,41829,6,49
2024-11-26T17:00:00Z,37481,462,4700,41719,0,50
2024-11-27T17:30:00Z,38323,1274,4647,41696,4,51
2024-11-22T19:30:00Z,36790,941,5845,41694,9,52
2024-11-27T17:00:00Z,38299,1327,4659,41631,6,53
2024-11-19T19:00:00Z,37482,2790,6872,41564,2,54
2024-11-22T16:00:00Z,37196,1146,5457,41507,10,55
2024-11-27T19:00:00Z,37584,1159,5023,41448,5,56
2024-12-05T13:30:00Z,33302,3597,11688,41393,12,57
2024-11-18T15:30:00Z,35805,620,6184,41369,6,58
2024-12-05T13:00:00Z,33367,3631,11550,41286,14,59
2024-11-26T18:30:00Z,37013,449,4662,41226,1,60
2024-11-27T16:30:00Z,38061,1379,4535,41217,0,61
2024-12-05T14:00:00Z,33308,3603,11492,41197,9,62
2024-11-21T10:30:00Z,37987,4259,7251,40979,9,63
2024-12-05T12:30:00Z,33373,3749,11344,40968,9,64
2024-12-05T16:30:00Z,35165,4397,10147,40915,4,65
2024-12-05T18:00:00Z,35124,5020,10794,40898,7,66
2024-12-05T17:00:00Z,35449,4611,10041,40879,4,67
2024-11-28T15:00:00Z,35352,2397,7902,40857,11,68
2024-12-03T15:00:00Z,34913,1353,7268,40828,5,69
2024-11-22T20:00:00Z,35678,888,5975,40765,6,70
2024-11-19T19:30:00Z,36660,2797,6887,40750,9,71
2024-11-27T19:30:00Z,36812,1136,4979,40655,10,72
2024-11-17T17:00:00Z,34511,1579,7657,40589,4,73
2024-12-05T16:00:00Z,34686,4246,10126,40566,4,74
2024-11-28T08:00:00Z,34944,1134,6695,40505,18,75
2024-11-26T19:00:00Z,36285,475,4532,40342,4,76
2024-11-20T21:00:00Z,34311,1830,7820,40301,13,77
2024-11-26T16:30:00Z,36775,505,4030,40300,0,78
2024-11-19T17:30:00Z,38446,2688,4524,40282,7,79
2024-12-05T14:30:00Z,33043,3691,10916,40268,14,80
2024-12-02T19:00:00Z,35684,1708,6283,40259,7,81
2024-12-05T17:30:00Z,35223,4825,9858,40256,0,82
2024-11-18T15:00:00Z,35202,716,5769,40255,2,83
2024-11-20T16:30:00Z,39232,2595,3604,40241,8,84
2024-11-19T17:00:00Z,38571,2651,4295,40215,9,85
2024-11-14T18:00:00Z,36060,585,4715,40190,4,86
2024-11-19T16:30:00Z,38088,2613,4708,40183,14,87
2024-12-01T18:00:00Z,33016,2295,9448,40169,5,88
2024-11-28T20:00:00Z,35398,3268,8038,40168,6,89
2024-11-19T18:00:00Z,38096,2735,4787,40148,8,90
2024-12-01T17:00:00Z,33292,2287,9138,40143,1,91
2024-12-05T12:00:00Z,33130,3920,10873,40083,11,92
2024-11-18T14:30:00Z,35006,949,5948,40005,5,93
2024-11-27T16:00:00Z,37254,1514,4265,40005,8,94
2024-11-21T16:30:00Z,39659,3101,3442,40000,9,95
2024-12-05T15:30:00Z,33740,4094,10351,39997,5,96
2024-11-14T19:00:00Z,35310,576,5249,39983,7,97
2024-11-21T15:30:00Z,38021,2535,4484,39970,4,98
2024-11-17T17:30:00Z,34209,1581,7329,39957,4,99
2024-11-14T18:30:00Z,35707,601,4846,39952,6,100
2024-11-17T16:30:00Z,33854,1576,7659,39937,4,101
2024-12-03T20:00:00Z,35465,1870,6315,39910,10,102
2024-11-28T08:30:00Z,35048,1932,6776,39892,19,103
2024-12-05T19:00:00Z,33642,5291,11533,39884,9,104
2024-11-19T13:30:00Z,36403,2912,6372,39863,9,105
2024-12-01T17:30:00Z,33114,2319,9068,39863,5,106
2024-11-19T18:30:00Z,37721,2782,4923,39862,2,107
2024-11-21T16:00:00Z,38900,2776,3737,39861,11,108
2024-11-22T15:30:00Z,35847,1262,5271,39856,10,109
2024-11-21T11:00:00Z,37670,4666,6795,39799,8,110
2024-11-28T09:00:00Z,35566,3015,7177,39728,13,111
2024-11-19T15:30:00Z,36879,2317,5094,39656,14,112
2024-11-18T20:00:00Z,33575,1322,7393,39646,12,113
2024-11-18T14:00:00Z,34850,1236,5990,39604,10,114
2024-12-05T11:30:00Z,33196,4169,10561,39588,12,115
2024-11-21T17:00:00Z,39926,3093,2749,39582,6,116
2024-12-05T18:30:00Z,34094,5215,10664,39543,4,117
2024-11-19T16:00:00Z,37296,2436,4665,39525,12,118
2024-12-02T19:30:00Z,34807,1550,6255,39512,13,119
2024-11-22T20:30:00Z,34415,834,5928,39509,11,120
2024-11-19T13:00:00Z,36269,2981,6164,39452,9,121
2024-11-21T17:30:00Z,39970,3085,2550,39435,6,122
2024-11-26T19:30:00Z,35642,501,4256,39397,4,123
2024-11-28T14:30:00Z,34737,3073,7726,39390,7,124
2024-11-21T18:00:00Z,39949,3102,2526,39373,6,125
2024-12-05T11:00:00Z,33136,3871,10067,39332,12,126
2024-10-30T17:00:00Z,34148,538,5674,39284,4,127
2024-11-14T17:30:00Z,35665,569,4182,39278,0,128
2024-12-01T16:30:00Z,32495,2255,8947,39187,6,129
2024-12-05T19:30:00Z,32600,5367,11908,39141,13,130
2024-11-20T16:00:00Z,37834,2600,3881,39115,2,131
2024-11-13T18:00:00Z,36161,1433,4386,39114,4,132
2024-11-14T17:00:00Z,35584,548,4056,39092,0,133
2024-12-03T09:00:00Z,35295,1391,5182,39086,11,134
2024-11-04T18:00:00Z,35266,410,4222,39078,0,135
2024-12-01T18:30:00Z,32164,2271,9161,39054,5,136
2024-11-04T17:30:00Z,35141,406,4282,39017,0,137
2024-11-19T20:00:00Z,35064,2770,6716,39010,11,138
2024-12-02T16:30:00Z,36394,2337,4940,38997,8,139
2024-11-21T18:30:00Z,39707,3118,2404,38993,4,140
2024-11-13T18:30:00Z,35814,1429,4583,38968,4,141
2024-11-19T12:30:00Z,36467,2925,5420,38962,9,142
2024-11-21T07:30:00Z,35700,2169,5426,38957,8,143
2024-11-16T17:00:00Z,32138,2140,8950,38948,5,144
2024-11-14T19:30:00Z,34356,551,5142,38947,8,145
2024-11-27T20:00:00Z,35710,1117,4331,38924,9,146
2024-12-02T18:00:00Z,36163,2007,4765,38921,3,147
2024-10-30T17:30:00Z,33788,584,5691,38895,4,148
2024-11-20T21:30:00Z,32574,1758,8045,38861,12,149
2024-11-06T17:00:00Z,34890,761,4662,38791,0,150
2024-11-06T17:30:00Z,34978,784,4583,38777,0,151
2024-11-22T15:00:00Z,35240,1815,5344,38769,13,152
2024-11-14T16:30:00Z,34886,527,4400,38759,4,153
2024-12-05T15:00:00Z,32744,3875,9870,38739,9,154
2024-11-06T18:30:00Z,34661,833,4900,38728,4,155
2024-11-13T17:00:00Z,36232,1424,3916,38724,3,156
2024-11-16T17:30:00Z,32167,2143,8688,38712,5,157
2024-11-08T17:30:00Z,35005,643,4346,38708,5,158
2024-11-13T17:30:00Z,36198,1436,3929,38691,4,159
2024-11-27T15:30:00Z,36210,1524,4001,38687,12,160
2024-11-21T11:30:00Z,37372,5471,6771,38672,8,161
2024-11-19T11:30:00Z,36439,2918,5149,38670,4,162
2024-11-06T18:00:00Z,34910,809,4539,38640,0,163
2024-11-09T17:30:00Z,33127,322,5832,38637,5,164
2024-11-28T20:30:00Z,33894,3332,8042,38604,14,165
2024-11-25T19:00:00Z,34451,4144,8282,38589,11,166
2024-11-25T17:30:00Z,35520,4358,7420,38582,3,167
2024-11-05T17:30:00Z,34740,513,4347,38574,0,168
2024-11-28T09:30:00Z,35231,3948,7278,38561,15,169
2024-11-08T17:00:00Z,34922,669,4306,38559,5,170
2024-12-02T18:30:00Z,35648,1865,4765,38548,2,171
2024-11-21T15:00:00Z,36870,2956,4631,38545,9,172
2024-11-05T17:00:00Z,34782,485,4247,38544,4,173
2024-11-19T12:00:00Z,36275,2954,5200,38521,7,174
2024-11-26T16:00:00Z,35030,586,4064,38508,5,175
2024-11-19T09:00:00Z,35669,2198,5027,38498,9,176
2024-11-21T19:00:00Z,39193,3099,2378,38472,10,177
2024-11-28T07:30:00Z,33868,917,5520,38471,14,178
2024-11-19T11:00:00Z,36232,2873,5110,38469,8,179
2024-12-05T10:30:00Z,33013,3610,9063,38466,13,180
2024-11-19T15:00:00Z,36056,2425,4834,38465,10,181
2024-11-28T14:00:00Z,34413,3651,7701,38463,6,182
2024-11-13T19:00:00Z,35328,1414,4539,38453,9,183
2024-11-18T13:30:00Z,34520,1575,5505,38450,11,184
2024-11-17T18:00:00Z,33375,1556,6594,38413,3,185
2024-11-17T18:30:00Z,33063,1530,6838,38371,5,186
2024-11-19T09:30:00Z,35887,2409,4893,38371,12,187
2024-11-08T18:00:00Z,34572,587,4381,38366,7,188
2024-11-17T16:00:00Z,32568,1602,7398,38364,6,189
2024-12-03T20:30:00Z,34324,1927,5962,38359,13,190
2024-11-06T16:30:00Z,34423,738,4667,38352,0,191
2024-11-16T16:30:00Z,31663,2137,8826,38352,4,192
2024-11-26T20:00:00Z,34537,526,4333,38344,4,193
2024-11-03T17:00:00Z,33194,439,5588,38343,6,194
2024-11-09T18:00:00Z,32823,340,5860,38343,7,195
2024-12-05T10:00:00Z,32930,3304,8709,38335,13,196
2024-11-04T17:00:00Z,34709,400,4023,38332,0,197
2024-12-04T14:00:00Z,34606,3094,6802,38314,7,198
2024-12-04T14:30:00Z,34600,3152,6863,38311,8,199
2024-11-12T18:00:00Z,35755,1131,3673,38297,6,200
2024-12-03T14:30:00Z,34186,1860,5963,38289,7,201
2024-11-25T17:00:00Z,35421,4402,7266,38285,5,202
2024-11-19T14:30:00Z,35845,2636,5059,38268,13,203
2024-11-09T17:00:00Z,32954,308,5621,38267,5,204
2024-11-04T18:30:00Z,34566,413,4112,38265,3,205
2024-10-14T18:30:00Z,33417,842,5688,38263,4,206
2024-11-28T13:30:00Z,34190,4354,8426,38262,9,207
2024-11-03T17:30:00Z,33130,458,5568,38240,6,208
2024-12-03T08:30:00Z,34528,759,4462,38231,4,209
2024-11-27T20:30:00Z,34695,1097,4624,38222,15,210
2024-12-03T09:30:00Z,35089,2001,5127,38215,12,211
2024-11-30T17:00:00Z,32422,3652,9432,38202,3,212
2024-12-01T16:00:00Z,31596,2288,8869,38177,13,213
2024-11-18T20:30:00Z,32679,1545,7023,38157,12,214
2024-11-25T18:00:00Z,35167,4309,7297,38155,3,215
2024-11-13T16:30:00Z,35633,1412,3929,38150,0,216
2024-12-04T16:30:00Z,36803,4065,5379,38117,7,217
2024-11-16T18:00:00Z,31983,2163,8269,38089,5,218
2024-12-04T13:30:00Z,34458,3087,6704,38075,7,219
2024-11-19T10:00:00Z,36011,2572,4617,38056,8,220
2024-11-01T17:30:00Z,32797,467,5710,38040,2,221
2024-12-05T20:00:00Z,31452,5373,11960,38039,9,222
2024-11-11T18:00:00Z,35416,1224,3814,38006,5,223
2024-11-25T19:30:00Z,33558,4028,8422,37952,11,224
2024-11-19T14:00:00Z,35858,2875,4951,37934,8,225
2024-11-24T17:30:00Z,32606,5328,10645,37923,0,226
2024-11-05T18:00:00Z,34368,540,4093,37921,5,227
2024-11-12T18:30:00Z,35307,1122,3734,37919,6,228
2024-11-30T17:30:00Z,32328,3808,9395,37915,3,229
2024-10-03T19:00:00Z,31377,1041,7574,37910,1,230
2024-11-19T10:30:00Z,35982,2595,4512,37899,8,231
2024-11-01T17:00:00Z,32765,500,5622,37887,3,232
2024-12-04T16:00:00Z,36185,3812,5509,37882,8,233
2024-11-28T10:00:00Z,35223,4691,7347,37879,15,234
2024-12-04T17:00:00Z,37129,4316,5054,37867,7,235
2024-12-04T12:30:00Z,34284,3425,6992,37851,7,236
2024-11-04T19:00:00Z,33948,414,4308,37842,9,237
2024-10-14T18:00:00Z,33041,804,5600,37837,2,238
2024-10-08T19:00:00Z,32379,1813,7250,37816,9,239
2024-10-10T19:00:00Z,32570,883,6128,37815,6,240
2024-10-14T19:00:00Z,33094,878,5578,37794,2,241
2024-11-21T19:30:00Z,38244,3080,2622,37786,10,242
2024-11-12T19:00:00Z,34543,1113,4355,37785,8,243
2024-11-06T19:00:00Z,34019,868,4616,37767,6,244
2024-12-03T10:00:00Z,34768,2501,5484,37751,17,245
2024-10-30T18:00:00Z,33190,640,5186,37736,2,246
2024-12-02T20:00:00Z,33441,1477,5758,37722,8,247
2024-11-24T17:00:00Z,32296,5279,10701,37718,0,248
2024-11-11T18:30:00Z,35050,1217,3833,37666,6,249
2024-11-25T18:30:00Z,34782,4260,7144,37666,4,250
2024-11-18T13:00:00Z,34447,2017,5234,37664,11,251
2024-11-24T16:30:00Z,32225,5229,10643,37639,0,252
2024-11-21T07:00:00Z,34403,2102,5318,37619,8,253
2024-11-19T20:30:00Z,33629,2742,6727,37614,11,254
2024-12-02T17:00:00Z,36201,2243,3639,37597,5,255
2024-12-03T08:00:00Z,34113,389,3843,37567,6,256
2024-11-08T18:30:00Z,33699,530,4391,37560,8,257
2024-10-28T17:00:00Z,34029,746,4270,37553,7,258
2024-10-10T19:30:00Z,31894,887,6540,37547,4,259
2024-10-03T18:30:00Z,31044,952,7445,37537,1,260
2024-11-14T20:00:00Z,33352,583,4765,37534,8,261
2024-12-04T08:30:00Z,34359,1332,4474,37501,7,262
2024-12-02T16:00:00Z,35259,2521,4746,37484,6,263
2024-11-09T18:30:00Z,32210,357,5630,37483,8,264
2024-11-22T21:00:00Z,32667,886,5673,37454,10,265
2024-11-27T21:00:00Z,33274,1039,5216,37451,8,266
2024-12-04T17:30:00Z,37091,4566,4914,37439,7,267
2024-12-02T17:30:00Z,36037,2149,3531,37419,3,268
2024-11-08T19:00:00Z,33080,530,4865,37415,8,269
2024-11-28T07:00:00Z,32839,886,5453,37406,9,270
